"Year","K.01","K.02","K.03","K.04","K.05","K.06","K.07","K.08","K.09","K.10","K.11","K.12","S.01","S.02","S.03","S.04","S.05","S.06","S.07","S.08","S.09","S.10","S.11","S.12","R.01","R.02","R.03","R.04","R.05","R.06","R.07","R.08","R.09","R.10","R.11","R.12","D.01","D.02","D.03","D.04","D.05","D.06","D.07","D.08","D.09","D.10","D.11","D.12"
2000,-14,-20.1,-16.2,0.6,1.7,11.6,10.7,9.5,5.4,-6,-7.8,-15.6,-10.2,-15.8,-15,-3.5,-1.5,4.1,6.3,6.7,4.2,-1.8,-3.9,-7.9,-12.1,-17.95,-15.6,-1.45,0.1,7.85,8.5,8.1,4.8,-3.9,-5.85,-11.75,-3.8,-4.3,-1.2,4.1,3.2,7.5,4.4,2.8,1.2,-4.2,-3.9,-7.7
2001,-19.3,-18.9,-17.6,-5.3,2.6,9.6,11.7,10.2,4.6,-3,-10.5,-15.6,-14,-13.2,-11.6,-4,-0.5,5.6,8.2,8.7,5.3,0.4,-4.7,-6.2,-16.65,-16.05,-14.6,-4.65,1.05,7.6,9.95,9.45,4.95,-1.3,-7.6,-10.9,-5.3,-5.7,-6,-1.3,3.1,4,3.5,1.5,-0.7,-3.4,-5.8,-9.4
2002,-16.7,-26.4,-20.5,-11.9,4.4,10.2,9.8,7.4,5.4,-6,-10.1,-12.8,-8.8,-17.5,-12.9,-7.3,2.3,6.1,7.5,6.8,5.4,-0.5,-3.4,-5.9,-12.75,-21.95,-16.7,-9.6,3.35,8.15,8.65,7.1,5.4,-3.25,-6.75,-9.35,-7.9,-8.9,-7.6,-4.6,2.1,4.1,2.3,0.600000000000001,0,-5.5,-6.7,-6.9
2003,-12.4,-22.2,-11.4,-6.2,4.4,11.5,11.5,9.6,6.1,-0.7,-13,-9.9,-5.6,-13.4,-7.5,-4.8,2,6.6,8.3,9.2,6.3,2,-5.5,-5,-9,-17.8,-9.45,-5.5,3.2,9.05,9.9,9.4,6.2,0.65,-9.25,-7.45,-6.8,-8.8,-3.9,-1.4,2.4,4.9,3.2,0.4,-0.2,-2.7,-7.5,-4.9
2004,-20.8,-17.2,-20.7,-8.3,6,10.9,9.9,8.5,2.8,-1.1,-9.1,-20.5,-9.3,-8.8,-13.8,-5.3,3.8,6.3,7,7.8,4.1,2,-2.6,-10.8,-15.05,-13,-17.25,-6.8,4.9,8.6,8.45,8.15,3.45,0.45,-5.85,-15.65,-11.5,-8.4,-6.9,-3,2.2,4.6,2.9,0.7,-1.3,-3.1,-6.5,-9.7
2005,-19.5,-9.8,-4.4,-5.1,2.7,10.4,11.1,8.8,1.8,-6.9,-6.6,-13.6,-11.1,-6.4,-3.3,-3.8,0.9,5.5,8.6,8.1,3.6,-0.9,-2.3,-6.2,-15.3,-8.1,-3.85,-4.45,1.8,7.95,9.85,8.45,2.7,-3.9,-4.45,-9.9,-8.4,-3.4,-1.1,-1.3,1.8,4.9,2.5,0.700000000000001,-1.8,-6,-4.3,-7.4
2006,-23.3,-17.2,-9.5,-5.9,5.1,8.5,11,9.3,5.1,-4.3,-14.5,-16.9,-13.2,-8.6,-5.7,-4.8,2.6,5.6,8.3,8.2,5.5,0.8,-6.4,-8.9,-18.25,-12.9,-7.6,-5.35,3.85,7.05,9.65,8.75,5.3,-1.75,-10.45,-12.9,-10.1,-8.6,-3.8,-1.1,2.5,2.9,2.7,1.1,-0.4,-5.1,-8.1,-8
2007,-16.9,-9.7,-14,-9.4,2.6,10.7,11.5,9.3,1.8,-7.5,-10.9,-18,-8.4,-5.9,-9.6,-7.1,0.6,5.6,8.5,9.2,3.7,-1.6,-4.3,-9.1,-12.65,-7.8,-11.8,-8.25,1.6,8.15,10,9.25,2.75,-4.55,-7.6,-13.55,-8.5,-3.8,-4.4,-2.3,2,5.1,3,0.100000000000001,-1.9,-5.9,-6.6,-8.9
2008,-21.6,-23.5,-15.1,-3.3,5.6,11,11.8,8,3.1,-4.7,-9.6,-14.9,-13.2,-15.7,-11,-3.8,3,5.3,9.9,6.7,4.2,-1.1,-4.7,-9,-17.4,-19.6,-13.05,-3.55,4.3,8.15,10.85,7.35,3.65,-2.9,-7.15,-11.95,-8.4,-7.8,-4.1,0.5,2.6,5.7,1.9,1.3,-1.1,-3.6,-4.9,-5.9
2009,-15.7,-14.3,-20.2,-7.3,3.2,9.9,11.3,9.3,2.2,-6.1,-16.9,-11.9,-7.4,-9.6,-14.3,-5.4,1.5,5.3,9,8.7,3.4,-1.2,-7.8,-3.9,-11.55,-11.95,-17.25,-6.35,2.35,7.6,10.15,9,2.8,-3.65,-12.35,-7.9,-8.3,-4.7,-5.9,-1.9,1.7,4.6,2.3,0.600000000000001,-1.2,-4.9,-9.1,-8
